player_id,player_name,country_code,birth_date,age,profile_total_earnings,profile_9_darters,profile_season_win_pct,profile_tour_card_years,profile_fdi_rating,profile_highest_average,profile_order_of_merit,profile_highest_tv_average,last_12_months_averages,last_12_months_180_s,last_12_months_checkout_pcnt,last_12_months_pcnt_legs_won,last_12_months_highest_checkout,last_12_months_first_9_averages,last_12_months_first_3_averages,last_12_months_with_throw_averages,last_12_months_against_throw_averages,last_12_months_pcnt_legs_won_throwing_first,last_12_months_pcnt_legs_won_throwing_second,last_12_months_171_180_s,last_12_months_140_s,last_12_months_131_140_s,last_12_months_functional_doubles_pcnt,api_rank,api_overall_stat,api_sum_field1,api_sum_field2
29497,James Buckby,ENG,,,2125.0,N/A,63.0,N/A,1455.0,93.74,N/A,0.0,79.01,75.0,33.18,58.93,167.0,86.9,84.2,78.39,79.69,68.13,49.8,78.0,213.0,306.0,41.09,655,79.01,235752,8951
48009,Zhan Qingyu,,,,0.0,N/A,67.0,N/A,N/A,84.68,N/A,0.0,79.01,8.0,30.4,60.32,121.0,84.87,85.0,76.21,82.38,69.7,50.0,8.0,27.0,32.0,36.89,656,79.01,30155,1145
37250,Lenny Schlueter,GER,,,75.0,N/A,56.0,N/A,1472.0,97.56,N/A,0.0,79.01,40.0,28.82,53.94,160.0,89.25,88.28,77.04,81.02,57.26,50.81,44.0,92.0,159.0,35.42,657,79.01,113901,4325
2245,Dennis Nilsson,SWE,21/03/1976,49,76516.0,1.0,50.0,N/A,1521.0,101.55,N/A,90.57,78.99,14.0,25.66,49.57,160.0,86.68,87.96,78.57,79.47,52.46,46.43,16.0,61.0,71.0,28.5,658,78.99,54158,2057
6223,Alexander Thorvaldsson,ISL,,,0.0,N/A,50.0,N/A,1477.0,95.94,N/A,0.0,78.98,39.0,30.58,52.91,157.0,86.16,86.74,78.69,79.29,65.35,40.95,42.0,171.0,242.0,35.76,659,78.98,192058,7295
40553,Tasuku Abe,JPN,,,191.0,N/A,50.0,N/A,1431.0,92.49,N/A,0.0,78.98,11.0,31.03,51.14,139.0,87.08,83.51,78.2,79.86,64.44,37.21,11.0,42.0,54.0,37.19,660,78.98,41228,1566
5750,Robin Smees,NED,,,325.0,N/A,55.0,N/A,1470.0,100.2,N/A,0.0,78.98,17.0,31.23,51.3,133.0,84.91,82.45,77.59,80.36,56.76,46.25,22.0,66.0,89.0,38.35,661,78.98,71422,2713
22449,Jarod Becker,GER,,,2175.0,N/A,63.0,N/A,1515.0,95.43,N/A,0.0,78.94,144.0,32.45,57.92,161.0,86.79,87.39,78.05,79.92,67.21,48.44,154.0,427.0,587.0,40.34,662,78.94,455749,17320
45160,Lenny Schluter,,,,0.0,N/A,41.0,N/A,N/A,93.3,N/A,0.0,78.94,22.0,27.54,46.61,141.0,87.33,87.24,77.54,80.48,59.09,34.23,24.0,91.0,158.0,32.39,663,78.94,102436,3893
8701,Jorge Garcia Del Pozo,ESP,,,275.0,N/A,73.0,N/A,1520.0,92.67,N/A,0.0,78.93,6.0,30.13,57.02,118.0,86.85,84.71,77.44,80.54,63.33,50.82,10.0,35.0,74.0,34.67,664,78.93,57175,2173
